SampleID	Interaction	Colour	Season	Experiment	Tidepool
A_M1	Anemone	Green	Monsoon	INT	One
C_P2	Control	Green	Post-Monsoon	INT	One
C_P3	Control	Green	Post-Monsoon	INT	One
C_S1	Control	Green	Summer	INT	One
C_S2	Control	Green	Summer	INT	One
C_S3	Control	Green	Summer	INT	One
C_M1	Control	Green	Monsoon	INT	One
C_M2	Control	Green	Monsoon	INT	One
C_M3	Control	Green	Monsoon	INT	One
A_P1	Anemone	Green	Post-Monsoon	INT	One
A_P2	Anemone	Green	Post-Monsoon	INT	One
A_P3	Anemone	Green	Post-Monsoon	INT	One
A_S1	Anemone	Green	Summer	INT	One
A_S2	Anemone	Green	Summer	INT	One
A_S3	Anemone	Green	Summer	INT	One
C_P1	Control	Green	Post-Monsoon	INT	One
A_M2	Anemone	Green	Monsoon	INT	One
S_P2	Sponge	Green	Post-Monsoon	INT	One
S_P1	Sponge	Green	Post-Monsoon	INT	One
A_M3	Anemone	Green	Monsoon	INT	One
S_P3	Sponge	Green	Post-Monsoon	INT	One
S_S1	Sponge	Green	Summer	INT	One
S_S2	Sponge	Green	Summer	INT	One
S_S3	Sponge	Green	Summer	INT	One
S_M1	Sponge	Green	Monsoon	INT	One
S_M2	Sponge	Green	Monsoon	INT	One
S_M3	Sponge	Green	Monsoon	INT	One
Z_1	Control1	Green	Post-Monsoon	COL	Three
Z_3	Control1	Purple	Post-Monsoon	COL	Three
Z_5	Control1	Green	Post-Monsoon	COL	Three
Z_6	Control1	Green	Summer	COL	Three
Z_8	Control1	Purple	Summer	COL	Three
